monster_id,asset_label,csv_name,csv_element,csv_rarity,is_boss,source_sheet,tile_index,image2_output_expected,final_runtime_path,status,note
enemy_001,enemy_001_fire,野火虫,fire,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,0,enemy_001_fire.png,assets/images/battle/monsters/enemy_001_fire.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_002,enemy_002_water,水泡泡,water,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,1,enemy_002_water.png,assets/images/battle/monsters/enemy_002_water.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_003,enemy_003_grass,草精灵,grass,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,2,enemy_003_grass.png,assets/images/battle/monsters/enemy_003_grass.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_004,enemy_004_water,深海鱼,water,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,3,enemy_004_water.png,assets/images/battle/monsters/enemy_004_water.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_005,enemy_005_earth,岩蜥,earth,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,4,enemy_005_earth.png,assets/images/battle/monsters/enemy_005_earth.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_006,enemy_006_wind,风蛾,wind,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,5,enemy_006_wind.png,assets/images/battle/monsters/enemy_006_wind.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_007,enemy_007_dark,暗蛛,dark,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,6,enemy_007_dark.png,assets/images/battle/monsters/enemy_007_dark.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_008,enemy_008_light,光蝇,light,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,7,enemy_008_light.png,assets/images/battle/monsters/enemy_008_light.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_009,enemy_009_dark,暗夜蝙蝠,dark,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,8,enemy_009_dark.png,assets/images/battle/monsters/enemy_009_dark.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
enemy_010,enemy_010_dark,暗毒蛛,dark,1,false,ChatGPT Image 2026年5月20日 18_15_02 (1).png,9,enemy_010_dark.png,assets/images/battle/monsters/enemy_010_dark.png,awaiting_image2_output,image-2 需输出透明背景单体怪物；reference_not_final 仅作提示参考，不可直接接入。
